Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	
11	24.	-20.	7.	
34	-24.	-20.	7.	
35	20.	-20.	7.	
36	16.	-20.	7.	
37	12.	-20.	7.	
38	8.	-20.	7.	
39	4.	-20.	7.	
40	0.	-20.	7.	
41	-4.	-20.	7.	
42	-8.	-20.	7.	
43	-12.	-20.	7.	
44	-16.	-20.	7.	
45	-20.	-20.	7.	
89	24.	-20.	-7.	
90	-24.	-20.	-7.	
91	20.	-20.	-7.	
92	16.	-20.	-7.	
93	12.	-20.	-7.	
94	8.	-20.	-7.	
95	4.	-20.	-7.	
96	0.	-20.	-7.	
97	-4.	-20.	-7.	
98	-8.	-20.	-7.	
99	-12.	-20.	-7.	
100	-16.	-20.	-7.	
101	-20.	-20.	-7.	
287	-24.	-19.44	3.3668	
294	-24.	-20.127	-2.6245	
346	24.	-19.44	3.3668	
353	24.	-20.127	-2.6245	
977	-21.35	-20.862	3.8017	
978	-1.9611	-20.898	3.865	
990	18.685	-18.676	3.5521	
1225	-2.214	-18.892	-3.7304	
1229	9.7801	-19.433	-4.0002	
1373	2.1511	-20.447	-4.5759	
1402	12.716	-19.891	-3.95	
1403	5.7918	-20.86	-3.6644	
1409	1.7357	-18.804	2.3515	
1419	11.722	-20.122	3.2925	
1436	7.1739	-19.261	-0.28266	
1438	16.522	-19.166	-2.8153	
1444	-13.321	-19.035	-0.37507	
1553	-18.066	-20.883	0.99311	
1555	-17.525	-20.487	-3.2502	
1761	-4.5829	-19.023	1.6434	
1777	1.882	-20.224	-1.283	
1779	-3.2636	-20.541	-0.45372	
1813	-14.908	-19.365	3.187	
1816	20.525	-19.605	0.84354	
1818	16.367	-20.279	0.81603	
1842	-6.6104	-19.549	-2.8443	
1851	-7.9735	-20.19	4.5143e-002	
1856	20.084	-18.925	-3.8105	
1890	5.1407	-20.294	2.4837	
1996	-21.018	-20.465	-0.86928	
2076	-13.772	-18.922	-4.7502	
2082	-21.353	-19.069	1.8192	
2212	22.	-20.	7.	
2215	24.	-19.72	5.1834	
2218	22.741	-18.929	5.6729	
2219	22.486	-20.611	5.5137	
2370	-22.	-20.	7.	
2374	-24.	-19.72	5.1834	
2377	-22.675	-20.431	5.4008	
2378	-22.844	-18.945	5.8439	
2379	18.	-20.	7.	
2383	19.342	-19.338	5.2761	
2384	20.741	-18.929	5.6729	
2385	18.394	-20.99	5.2849	
2386	20.486	-20.611	5.5137	
2387	14.	-20.	7.	
2392	14.736	-18.692	7.	
2393	17.342	-19.338	5.2761	
2394	16.394	-20.99	5.2849	
2395	15.542	-19.279	5.7107	
2397	10.	-20.	7.	
2400	12.736	-18.692	7.	
2401	11.	-18.75	7.	
2402	11.861	-20.061	5.1463	
2403	13.542	-19.279	5.7107	
2404	6.	-20.	7.	
2407	9.	-18.75	7.	
2409	7.9905	-19.115	5.4341	
2412	9.8608	-20.061	5.1463	
2413	6.5703	-20.147	4.7418	
2414	5.9952	-18.927	5.7894	
2415	2.	-20.	7.	
2421	4.5703	-20.147	4.7418	
2422	2.8373	-20.861	5.6151	
2423	3.9952	-18.927	5.7894	
2424	-2.	-20.	7.	
2429	-0.98053	-20.449	5.4325	
2431	0.86784	-19.402	4.6758	
2432	-2.077	-19.043	5.7243	
2433	0.8373	-20.861	5.6151	
2434	1.9952	-18.927	5.7894	
2435	-6.	-20.	7.	
2440	-2.9805	-20.449	5.4325	
2441	-4.3965	-20.846	5.2569	
2442	-4.077	-19.043	5.7243	
2443	-10.	-20.	7.	
2448	-9.5643	-18.741	5.4101	
2450	-9.8998	-20.845	5.2225	
2451	-7.9818	-19.212	4.7419	
2453	-6.3965	-20.846	5.2569	
2454	-6.077	-19.043	5.7243	
2455	-14.	-20.	7.	
2460	-11.564	-18.741	5.4101	
2461	-11.9	-20.845	5.2225	
2462	-13.454	-19.682	5.0935	
2463	-18.	-20.	7.	
2471	-16.872	-18.968	5.4735	
2472	-13.9	-20.845	5.2225	
2473	-15.454	-19.682	5.0935	
2474	-17.231	-21.148	5.5134	
2477	-20.675	-20.431	5.4008	
2478	-20.844	-18.945	5.8439	
2479	-18.872	-18.968	5.4735	
2480	-19.231	-21.148	5.5134	
