
 PRINT S    NODAL SOLUTION PER NODE
    NODE       SX             SY             SZ             SXY            SYZ            SXZ     
       1   0.966831        7.34892       0.321810       0.918550       0.121387       0.980719E-001
       2  -0.648747E-002   2.70701      -0.575819E-001 -0.913753       0.370131      -0.259610     
       3   -1.33534      -0.192854      -0.119050      -0.554729E-001 -0.107531E-001 -0.233512     
       4   -1.43262      -0.652731E-001 -0.117288      -0.584086E-001  0.154132E-001  0.156033     
       5   0.122042        2.67683       0.289753E-001  0.887564       0.336521       0.269627     
       6   0.438619        7.51085       0.249211      -0.469516       0.179093      -0.203585     
       7    2.31262        1.17978       0.147378       -3.93905      -0.763162       0.454872     
       8   -2.01262       -6.30991      -0.544648      -0.307169      -0.348500E-001  0.635033     
       9   -2.02410       -5.90087      -0.342522       0.934966       0.724759E-002 -0.631418     
      10    1.52295        1.70646       0.270543        2.92880      -0.735179      -0.337016     
      11   0.863392        2.67255        1.06829       0.575125        1.54602       0.739988     
      12  -0.142232E-001 -0.968604E-002  0.643678E-002 -0.186324E-001  0.205499E-002 -0.262245E-002
      13  -0.935721E-002   1.69555      -0.560372E-001 -0.561341E-001  0.571003E-001 -0.231313E-001
      14  -0.213212E-001   1.44592      -0.269720E-001 -0.191239E-001 -0.707722E-002  0.535397E-002
      15  -0.290054E-002   1.46916      -0.605215E-002 -0.664933E-002 -0.333351E-002 -0.712562E-003
      16   0.703536E-003   1.53528      -0.493176E-003 -0.581381E-002  0.704875E-003  0.268877E-003
      17   0.124286E-002   1.60199       0.671430E-003 -0.805917E-002  0.266658E-002 -0.383653E-003
      18   0.291250E-002   1.65265      -0.900490E-003 -0.788134E-002  0.364549E-002 -0.936400E-003
      19   0.264387E-002   1.66717       0.112088E-002  0.784423E-003  0.149009E-002 -0.572256E-003
      20   0.572769E-002   1.61136       0.138739E-002  0.115350E-001 -0.558376E-002 -0.495041E-003
      21   0.485680E-002   1.44004       0.487963E-002  0.192431E-001 -0.149668E-001 -0.173054E-002
      22   0.610394E-003   1.13357       0.574596E-002  0.321707E-001 -0.232807E-001 -0.250295E-002
      23  -0.143061E-001  0.753714       0.464769E-002  0.503489E-001 -0.235352E-001  0.154178E-002
      24  -0.136873E-001  0.478522      -0.541061E-002  0.141723E-001 -0.655700E-002  0.114039E-002
      25  -0.104829E-001  0.461641      -0.262310E-002 -0.378563E-001  0.208483E-001  0.100597E-002
      26   0.358756E-002  0.691600      -0.270116E-002 -0.458553E-001  0.371717E-001  0.102208E-002
      27   0.123042E-001  0.948258       0.100778E-003 -0.536934E-001  0.262758E-001 -0.477885E-002
      28   0.174856E-001   1.04857       0.724980E-002 -0.165922E-001  0.100386E-001  0.287640E-003
      29   0.839572E-002  0.953028       0.385414E-002  0.658214E-002 -0.434502E-002 -0.188250E-002
      30   0.467329E-003  0.713136      -0.387375E-003  0.197564E-001 -0.134753E-001 -0.167228E-002
      31   0.431333E-003  0.430584      -0.189512E-004  0.190801E-001 -0.127338E-001 -0.120037E-004
      32  -0.755491E-002  0.167986      -0.119232E-002  0.219474E-001 -0.972664E-002  0.797565E-003
      33  -0.201561E-002  0.718773E-002 -0.550234E-002 -0.236216E-002  0.509322E-003  0.825889E-003
      34   0.942636        2.64220        1.12634      -0.565095        1.58297      -0.766859     
      35   0.881771        2.31952       0.518031       0.392013        1.32559       0.574184     
      36   0.787049        1.68797       0.508716       0.275422        1.23276       0.335079     
      37   0.855096        2.03264       0.586046       0.143387        1.39164       0.342229     
      38   0.813686        1.83228       0.637956       0.106403        1.07093       0.131923     
      39   0.971159        2.11744       0.652781       0.884805E-001   1.08916       0.707257E-001
      40   0.811913        1.76541       0.636805       0.101390E-002   1.09030       0.102284E-001
      41   0.989875        2.11101       0.723100      -0.708653E-001   1.19918      -0.717084E-001
      42   0.755680        1.67540       0.587412      -0.941905E-001   1.03703      -0.127819     
      43   0.816527        1.82865       0.554055      -0.148815        1.13192      -0.226132     
      44   0.839239        2.08745       0.576415      -0.257931        1.12600      -0.314042     
      45   0.864867        2.20246       0.557177      -0.368149        1.43334      -0.561626     
      46  -0.175365E-001 -0.843836E-002  0.584262E-002  0.203148E-001  0.187237E-002  0.361212E-002
      47  -0.173072E-001   1.75387      -0.417123E-001  0.600774E-001  0.523299E-001  0.142435E-001
      48  -0.166726E-001   1.46935      -0.296680E-001  0.164887E-001 -0.347102E-002 -0.236103E-002
      49  -0.532779E-002   1.47735      -0.795298E-002  0.998373E-002 -0.556308E-002  0.761111E-003
      50   0.139640E-002   1.54577      -0.242579E-003  0.651996E-002  0.138321E-002  0.442811E-003
      51   0.150367E-002   1.61448      -0.196095E-003  0.819097E-002  0.297343E-002 -0.106730E-003
      52   0.322728E-002   1.66308       0.102842E-002  0.703973E-002  0.349378E-002  0.401471E-003
      53   0.478006E-002   1.67715       0.371868E-003  0.436062E-002  0.816140E-003 -0.230040E-003
      54   0.275556E-002   1.62279       0.202175E-002 -0.471229E-002 -0.579098E-002  0.227272E-002
      55   0.659120E-002   1.43835       0.447951E-002 -0.232314E-001 -0.159925E-001  0.257634E-003
      56   0.370770E-002   1.12238       0.342144E-002 -0.429543E-001 -0.221717E-001  0.281903E-002
      57  -0.609980E-002  0.744858       0.247500E-002 -0.384941E-001 -0.236213E-001 -0.113205E-002
      58  -0.132791E-001  0.472523      -0.706507E-002 -0.193240E-001 -0.446296E-002  0.237186E-002
      59  -0.451986E-002  0.480474      -0.145459E-002  0.343229E-001  0.209929E-001 -0.131217E-002
      60   0.170936E-002  0.705970       0.239323E-003  0.737568E-001  0.328459E-001 -0.575030E-003
      61  -0.112504E-002  0.969574       0.561082E-002  0.470525E-001  0.217297E-001  0.234929E-002
      62   0.957499E-002   1.07628       0.397700E-002  0.206274E-001  0.102598E-001  0.201398E-002
      63   0.738346E-002  0.962407       0.420091E-002 -0.981955E-002 -0.624711E-002  0.819035E-003
      64  -0.422605E-003  0.718300       0.773923E-003 -0.195431E-001 -0.134015E-001  0.412340E-003
      65  -0.252188E-002  0.429392      -0.522699E-004 -0.241250E-001 -0.138236E-001  0.897009E-006
      66  -0.399188E-002  0.179037       0.505322E-003 -0.172719E-001 -0.713526E-002 -0.175084E-002
      67  -0.680937E-002  0.167240E-001 -0.474246E-002  0.638891E-002  0.232764E-003 -0.138090E-002
      68   0.183727E-001 -0.343541E-002 -0.182160E-002 -0.258409E-002 -0.199673E-002  0.226707E-004
      69   0.183640      -0.476082E-002 -0.141546E-002  0.186678E-001 -0.101418E-002  0.938928E-002
      70   0.446562      -0.329210E-003 -0.122182E-002  0.202880E-001 -0.116300E-002  0.172480E-001
      71   0.728285       0.223473E-002  0.142040E-002  0.178072E-001  0.136728E-002  0.138786E-001
      72   0.933136       0.568211E-002  0.212389E-002  0.148959E-001  0.157742E-002  0.840762E-002
      73    1.01856       0.670992E-002  0.213076E-002  0.523256E-002  0.107377E-002  0.193337E-002
      74   0.938102       0.681968E-002  0.184189E-002 -0.102806E-001  0.166414E-002 -0.875585E-002
      75   0.726659       0.356433E-002  0.139930E-002 -0.226196E-001  0.411116E-003 -0.141184E-001
      76   0.452380      -0.230355E-003 -0.647695E-003 -0.260804E-001 -0.274693E-003 -0.133688E-001
      77   0.192069      -0.575169E-002 -0.368762E-003 -0.202012E-001 -0.873488E-003 -0.713056E-002
      78   0.923934E-002 -0.268060E-002 -0.428871E-002  0.223964E-002 -0.925654E-003 -0.112480E-002
      79   0.849215        7.36199       0.273134       0.989522      -0.179114      -0.130620     
      80   0.171857E-001   2.88599       0.884907E-002  -1.01064      -0.333105       0.243561     
      81   -1.52061      -0.203784E-001 -0.132892      -0.255240E-001 -0.105436E-001  0.227852     
      82   -1.63474      -0.193090      -0.122728      -0.298288      -0.714637E-002 -0.295961     
      83   0.119296        2.57531      -0.398175E-001  0.981625      -0.367345      -0.298649     
      84   0.700669        7.48611       0.287272      -0.990237      -0.168117       0.193194     
      85    2.44315       0.761590       0.268829       -3.82340       0.708691      -0.426220     
      86   -2.53769       -6.15248      -0.360373      -0.461420       0.173347E-001 -0.585878     
      87   -2.01140       -6.08214      -0.348328       0.769286       0.166341E-001  0.682222     
      88    1.47563        2.00530       0.166532        3.26318       0.737106       0.360095     
      89   0.930565        2.74260        1.09052       0.621474       -1.59142      -0.742397     
      90   0.827910        2.65367       0.996171      -0.580510       -1.51324       0.716614     
      91   0.936378        2.49870       0.528506       0.445542       -1.37150      -0.540394     
      92   0.800006        1.89611       0.559505       0.245388       -1.15620      -0.331137     
      93   0.897721        2.12285       0.638007       0.178920       -1.30051      -0.200046     
      94   0.871227        1.97284       0.598137       0.817106E-001  -1.19463      -0.164247     
      95   0.869065        1.92900       0.596034       0.571667E-001  -1.22672      -0.505780E-001
      96   0.891242        1.96222       0.673803      -0.695749E-002  -1.19084       0.113471E-001
      97   0.835526        1.78459       0.645287      -0.787087E-001  -1.10187       0.379532E-001
      98   0.805906        1.78674       0.616278      -0.865482E-001  -1.07231       0.129378     
